vol,cid,cite,abbrev,already_resolved,is_self_ref,author_name,work_title,context_before
5,ch012,"lib. 8, cap. 3",lib,True,False,,,"formed of ""reus."" So Quintilian informs us, in his discourse of the use of obsolete and new words,"
5,ch012,lib. 2,lib,True,False,Robert Bellarmine,,"; for it is the guilt of sin that makes any one to be truly a sinner.  This is urged by Bellarmine,"
5,ch013,lib. 4 cap. 2-4,lib,True,False,Faustus Socinus,On Jesus Christ the Savior,"overthrow all remission of sins on the part of God"". This is pleaded for by Socinus, De Servatore,"
5,ch013,lib. 4 cap. 2-5,lib,True,False,Faustus Socinus,On Jesus Christ the Savior,"on the part of God or faith on ours."" These things I have transcribed out of Socinus, De Servatore,"
5,ch013,lib. 5 cap. 18,lib,True,False,,,"nisi inobedientia illius nostra etiam inobedientia esset</span>"", De Amiss. Grat. et Stat. Peccat.,"
5,ch014,"lib. 9, cap. 14",lib,True,False,Gregory of Nazianzus,,"orn of a woman, that he should be righteous?"" Job 15:14-16; 4:18,19. Hence says Gregory, in Job. 9,"
5,ch018,Epist. 200,epist,True,False,,,"quam dixerit legem et ait; 'per legem cognitio peccati'"".  And to the same purpose he speaks again,"
5,ch020,lib. 2 cap. 10,lib,True,False,,,"rita, cum nobis donantur et applicantur, ad si nos ipsi Deo stisfecissimus</span>"", De Justificat.,"
5,ch022,Dial. 3,dial,True,False,,,"s imputed unto all that believe unto the justification of life. The sum of it is given by Theodore,"
5,ch022,lib. 4 cap. 6,lib,True,False,,,"the benefits thereof. This is the substance of his long disputation on this subject, De Servatore,"
5,ch022,lib. 11 cap. 25,lib,True,False,Cyril of Alexandria,Commentary on John,"nce of one shall many be made righteous.""  This is well explained by Cyrillus Alexandrinus in Joan."
5,ch022,Epist. 12,epist,True,False,Leo the Great,Letters,"ctio et vivificatio quae per Spiritum est, ad totam nostram penetravit naturam</span>"". And by Leo,"
5,ch022,lib. 2 cap. 10,lib,True,False,,,"and importance, giving up his whole cause in satisfaction unto them, in the words before described,"
5,ch022,lib. 2 cap. 7,lib,True,False,,,"interpretation, and it is his first argument against the imputation of the righteousness of Christ,"
5,ch022,lib. 1,lib,True,False,,,"absurdity of the assertion falls upon himself; we are not concerned in it. For he affirms directly,"
5,ch022,"lib. 1 cap. 18, li",lib,False,False,Robert Bellarmine,,"the least intimation of any such distinction?  Bellarmine considers this testimony in three places,"
